id,date_detection,priorite,score,statut,titre,organisme,type_financement,zone,themes,montant,deadline,lien,eligibilite_ambition_campus,pieces_probables,responsable,prochaine_action,notes
e4f3e86b47,2026-06-20,A - à traiter vite,56,nouveau,Candidatez pour développer l'offre parasportive - Ville de Paris Ville de Paris,Ville de Paris - Appels à projets,subvention,Paris,vie associative,jusqu'au 9 juillet,jusqu'au 9 juillet,https://www.paris.fr/pages/developpement-de-l-offre-parasportive-35404,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; subvention; association; associations
7c9b6c3922,2026-06-20,A - à traiter vite,56,nouveau,Appel à projets Dynamiques Emploi – « Des parcours - Ville de Paris Ville de Paris,Ville de Paris - Appels à projets,appel à projets,Paris,insertion,jusqu'au mardi 30 juin 2026 à 23h59,jusqu'au mardi 30 juin 2026 à 23h59,https://www.paris.fr/pages/appel-a-projets-dynamiques-emploi-accompagner-vers-l-emploi-16775,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; insertion
db1d49d902,2026-06-20,A - à traiter vite,53,nouveau,Postulez à l'appel à projets Paris Code #11 - Ville de Paris Ville de Paris,Ville de Paris - Appels à projets,appel à projets,Paris,égalité des chances; jeunesse; insertion,jusqu'au 16 avril 2026 inclus,jusqu'au 16 avril 2026 inclus,https://www.paris.fr/pages/candidatez-a-l-appel-a-projets-pariscode-7-20676,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; jeune; jeunes; insertion
c587e47e3e,2026-06-20,A - à traiter vite,52,nouveau,"Appel à projets « Ma citoyenneté, mes rêves et mes - Ville de Paris Ville de Paris",Ville de Paris - Appels à projets,appel à projets,Paris,jeunesse; éducation/orientation; vie associative,,,https://www.paris.fr/pages/appel-a-projets-democratie-art-et-citoyennete-au-theatre-de-la-concorde-26997,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; association; associations; jeune; jeunes
80b7155137,2026-06-20,A - à traiter vite,52,nouveau,"Programme "" Ensemble c'est tout ! "" avec l'association Citoyenneté Jeunesse | Région Île-de-France",Région Île-de-France - Aides et appels à projets,subvention,Île-de-France,aide aux étudiants; jeunesse; insertion; vie associative,,,https://www.iledefrance.fr/aides-et-appels-a-projets/programme-ensemble-cest-tout-avec-lassociation-citoyennete-jeunesse,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,financement; association; associations; jeunesse; jeune; jeunes; etudiant; étudiant
fd0059d6d3,2026-06-20,A - à traiter vite,52,nouveau,Le calendrier du concours - Fondation la France s’engage,La France s'engage,subvention,France,égalité des chances; éducation/orientation; insertion,,Clôture de la plateforme en ligne de dépôt des candidatures,https://fondationlafrancesengage.org/le-concours/le-calendrier-du-concours-2026/,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,education; éducation; insertion; inclusion
6074aee554,2026-06-20,A - à traiter vite,51,nouveau,Quartier Jeunes 13 : postulez pour une activité de - Ville de Paris Ville de Paris,Ville de Paris - Appels à projets,appel à projets,Paris,jeunesse,jusqu’au 13 mai 2026,jusqu’au 13 mai 2026,https://www.paris.fr/pages/quartier-jeunes-13-un-appel-a-propositions-pour-une-activite-de-restauration-mobile-35029,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; jeunesse; jeune; jeunes
7454377f21,2026-06-20,B - intéressant,49,nouveau,Tickets-Loisirs | Région Île-de-France,Région Île-de-France - Aides et appels à projets,subvention,Île-de-France,aide aux étudiants; insertion; vie associative,jusqu'au,jusqu'au,https://www.iledefrance.fr/aides-et-appels-a-projets/tickets-loisirs,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,financement; association; associations; etudiant; étudiant; malus: marches publics; malus: marchés publics
1010756ce6,2026-06-20,B - intéressant,48,nouveau,Un Carrousel pour la place de l'Hôtel de Ville - Ville de Paris Ville de Paris,Ville de Paris - Appels à projets,appel à projets,Paris,,84 euros,candidature jusqu'au 26 juin 2026 à 12h00,https://www.paris.fr/pages/un-carrousel-pour-la-place-de-l-hotel-de-ville-35350,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; appel a manifestation; montant détecté
3e02a1b37b,2026-06-20,B - intéressant,45,nouveau,Lutte contre les rixes | Région Île-de-France,Région Île-de-France - Aides et appels à projets,subvention,Île-de-France,aide aux étudiants; insertion; vie associative,,,https://www.iledefrance.fr/aides-et-appels-a-projets/lutte-contre-les-rixes,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,financement; association; associations; etudiant; étudiant; malus: marches publics; malus: marchés publics
